PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§frak .t@	1079	V	VERB	Open	fragte
.g@ §kO .m@n	1079	V	VERB	Open	gekommen
§gElt	1078	N	NOM	Open	Geld
§StE .l@n	1077	V	VERB	Open	stellen
§StUn .d@n	1076	N	NOM	Open	Stunden
§me .tɐ	1073	N	NOM	Open	Meter
.b@ §dX .tUN	1071	N	NOM	Open	Bedeutung
§eɐ .d@	1071	N	NOM	Open	Erde
§zOl .ç@n	1062	A	ADJ	Open	solchen
.b@ §=i .U .N@n	1061	N	NOM	Open	Beziehungen
§kr&ft	1061	N	NOM	Open	Kraft
.In .t@r .n& .=i .o §na .l@n	1058	A	ADJ	Open	internationalen
.po .li §=W	1057	N	NOM	Open	Polizei
§gIlt	1055	V	VERB	Open	gilt
§vI .s@n .S&ft	1055	N	NOM	Open	Wissenschaft
.X §ro .pa	1047	N	NOM	Open	Europa
§Stat	1047	N	NOM	Open	Staat
§lWçt	1046	A	ADJ	Open	leicht
§klW .n@	1045	A	ADJ	Open	kleine
§k/ln	1043	N	NOM	Open	Koeln
§blIk	1041	N	NOM	Open	Blick
.mi §nu .t@n	1039	N	NOM	Open	Minuten
§e .b@n .zo	1038	ADV	ADV	Open	ebenso
§li .g@n	1037	V	VERB	Open	liegen
§blip	1035	V	VERB	Open	blieb
§&l .t@	1030	A	ADJ	Open	alte
§k/ .n@	1027	V	VERB	Open	koenne
§vIrt .S&ft	1020	N	NOM	Open	Wirtschaft
§&n .dɐs	1014	ADV	ADV	Open	anders
.tEn §dEn=	1013	N	NOM	Open	Tendenz
§kIr .ç@	1011	N	NOM	Open	Kirche
§klaɐ	1009	A	ADJ	Open	klar
§trO=	1007	PREP	PRE	Closed	trotz
§rEçt	1007	N	NOM	Open	Recht
§gu .t@n	1004	A	ADJ	Open	guten
§kOn .t@n	1000	V	VERB	Open	konnten
§fOrm	999	N	NOM	Open	Form
§m&rk	999	N	NOM	Open	Mark
§m&rk	999	N	NOM	Open	Mark
.zi .tu .& .=i §on	999	N	NOM	Open	Situation
§SnEl	996	A	ADJ	Open	schnell
§B .g@n .blIk	995	N	NOM	Open	Augenblick
.g@ §bit	994	N	NOM	Open	Gebiet
§mE .nɐ	989	N	NOM	Open	Maenner
§Un .z@ .r@m	988	PRON	PRO	Closed	unserem
§Un .z@ .r@m	988	PRON	PRO	Closed	unserem
§i .r@n	987	PRON	PRO	Closed	ihren
§i .r@n	987	PRON	PRO	Closed	ihren
§i .r@n	987	PRON	PRO	Closed	ihren
